Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C2, C3, C4, C5, C6, C8, C9",C_Disc_D3.0mm_W1.6mm_P2.50mm,13,100n,
J1,IDC-Header_2x20_P2.54mm_Horizontal,1,Conn_02x20_Odd_Even,
J2,IDC-Header_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J4,PinHeader_1x02_P2.54mm_Horizontal,1,Conn_01x02,
"R1, R4, R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,10K,
"R2, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1K5,
U1,DIP-28_W15.24mm,1,CY62256-70PC,
"U10, U2, U3, U4",DIP-20_W7.62mm,4,74HC244,
U11,DIP-14_W7.62mm,1,74HC02,
U5,DIP-14_W7.62mm,1,74HC32,
U6,DIP-28_W7.62mm,1,ATmega8-16P,
"U7, U9",DIP-20_W7.62mm,2,74HC373,
U8,SOP-8_3.9x4.9mm_P1.27mm,1,CH340N,
