Designator,Mid X,Mid Y,Rotation,Layer
C1,148.57,-80.01,180.0,top
C10,207.03,-97.79,0.0,top
C11,172.74,-130.81,180.0,top
C12,154.96,-100.33,180.0,top
C13,200.64,-67.31,180.0,top
C14,152.4,-81.26,90.0,top
C2,152.42,-71.12,270.0,top
C3,200.68,-100.33,180.0,top
C4,161.31,-130.81,180.0,top
C5,182.9,-100.33,0.0,top
C6,152.4,-86.38,90.0,top
C8,189.25,-100.33,180.0,top
C9,205.74,-130.81,0.0,top
J1,226.06,-102.87,0.0,top
J2,171.45,-104.14,90.0,top
J3,146.05,-95.6,270.0,top
J4,227.26,-68.585,0.0,top
R1,161.29,-104.14,90.0,top
R2,146.05,-73.66,90.0,top
R3,149.86,-73.66,90.0,top
R4,144.78,-109.22,270.0,top
R5,144.78,-120.65,90.0,top
R6,213.614,-130.556,0.0,top
U1,172.72,-77.47,90.0,top
U10,152.39,-115.57,0.0,top
U11,163.82,-119.38,0.0,top
U2,209.56,-82.555,180.0,top
U3,198.11,-82.545,0.0,top
U4,209.55,-115.57,180.0,top
U5,175.25,-119.38,0.0,top
U6,172.71,-92.72,90.0,top
U7,186.68,-115.565,0.0,top
U8,147.32,-85.09,270.0,top
U9,198.11,-115.57,0.0,top
